# The 398 provider-incomplete cards of the 2026-09-22 sprint (snapshot 2026-09-23T01:45Z),
# from recut-20260923-made.tsv; rowan-new reports/failed-cards-2026-09-22.md class 2.
# 264 of them ended in opencode's UnknownError. Columns: card, rung, the route that left it incomplete.
card-read3-nova-tools-2480	flash	ords41
card-cold3-nova-tools-2714	flash	ocglmflash
card-schema-cell-go-numeric-evolution	flash	orglmflash
card-nx-w12-e02-f01-01-load-resident-o-structure-event	pro	ocglm53
card-schema-read-spec-l2974-elixir	flash	ocglmflash
card-cold3-nova-tools-2674	flash	ornemotron
card-cold3-nova-tools-2304	flash	ocglmflash
card-schema-read-spec-tables-l7740-go	flash	ormimo26
card-fix3-nova-tools-2530	pro	ordevstral
card-schema-read-spec-l1939-js	flash	orglmflash
card-read3-nova-tools-2537	flash	ornemotron
card-rule3-bus-delivery-69	flash	orqwen38
card-fix3-nova-tools-2243	pro	ocglm53
card-schema-cell-rust-plan-execution	flash	ocglmflash
card-schema-cell-dart-field-evolution	flash	ormimo26
card-nx-w29-e05-f05-02-retain-fixtures-revisions-fault-points	pro	ormuse
card-nx-g08-codeowners-routes-reads	flash	orgeminilite
card-schema-cell-cs-optional-values	flash	orqwen38
card-fix3-nova-tools-2323	pro	ormimo26pro
card-schema-read-spec-l2951-js	flash	ormimo26
card-00-holdfix-2748-249f4bdd	pro	ormuse
card-schema-cell-cs-hostile-input-v2	flash	ocglmflash
card-schema-read-spec-l2308-cpp	flash	orgeminilite
card-rule3-bus-reply-130	flash	ocglmflash
card-schema-cell-dart-file-envelope	flash	ocglmflash
card-schema-cell-js-writing	pro	ocmuse
card-schema-read-spec-l2308-rust	flash	ocglmflash
card-schema-read-spec-tables-l7740-dart	flash	orqwen38
card-cell3-js-e5	pro	ocmuse
card-schema-cell-cs-field-evolution-v2	flash	ormimo26
card-cold3-nova-tools-2313	flash	ormimo26
card-fix3-nova-tools-2255	pro	ormuse
card-nx-w67-e10-f05-03-pin-scenarios-owners-commands-before	pro	ordevstral
card-read3-nova-tools-2521	flash	orgeminilite
card-schema-read-spec-l57-c	flash	ocglmflash
card-cold3-nova-tools-2676	flash	ords41
card-read3-nova-tools-2469	flash	orqwen38
