repo	pr	head	prompt8	jev_score	friend	verdict	friend_score	author
nova-tools	1263	5e6e7fae7ef85fd99a2f1e1f086dd5cd3b791091	fd94795e	1	stella	HOLD	4	rowan-claude
nova-tools	1615	ff0e38781bca08cbe73a3bd69e48650885539a00	fd94795e	7	stella	APPROVE	8	rowan-claude
nova-tools	1912	a98e609254dde930b05871bccfc2b3866f2bd7a3	fd94795e	2	stella	APPROVE	9	rowan-claude
nova-tools	1990	9d93cb368a0aceb3f6e961a344223a7c817c0546	fd94795e	6	stella	APPROVE	8	rowan-claude
nova-tools	2125	449a545ced8a2c41cf26f3be8da1263eb8f22146	fd94795e	7	stella	APPROVE	8	gafferongames
nova-tools	2264	c4e084f83a0f1c958d707af9346e6cfa421ea927	fd94795e	6	stella	APPROVE	9	rowan-claude
nova-tools	2395	19c3e55f4aa2c6d8a680b8fc2ea5a96dcbeeae8e	fd94795e	6	stella	HOLD	7	rowan-claude
nova-tools	2471	9600187fe556f04f1a7bf86c7a8ca1801ebbfdb1	fd94795e	6	stella	APPROVE	8	gafferongames
nova-tools	2514	40d85ac7b835081300404a8a4137fc763dd9c672	fd94795e	3	stella	APPROVE	9	gafferongames
nova-tools	2624	20341dc19982260de89968ae3106f90f9f57a42b	fd94795e	3	stella	APPROVE	9	rowan-claude
nova-tools	2706	0453ff8febacb3348fc5e42df122615c9680a864	fd94795e	7	stella	APPROVE	9	gafferongames
nova-tools	2742	eb14618fb51b575d17b2b8727270404bf8798db8	fd94795e	6	stella	APPROVE	9	rowan-claude
nova-tools	2759	2b5cf649d65daee5c9e5c86ec4b88c2c72fe88c3	fd94795e	7	stella	APPROVE	9	rowan-claude
nova-tools	2769	1312f200d8b6e06c4f43dbb190afcacd7a51d407	fd94795e	7	stella	APPROVE	9	rowan-claude
nova-tools	2786	d3cf2099dd26ddb93758d994be0b7a35c94cf3b4	fd94795e	7	stella	APPROVE	8	rowan-claude
nova-tools	2804	5c22281227787713632a1cd01f90ba9a2be61277	fd94795e	6	stella	APPROVE	10	rowan-claude
nova-tools	2827	3613781fa9db3fd522e92e69bc85819514cdb3d4	fd94795e	3	stella	APPROVE	8	rowan-claude
nova-tools	2839	5addae441affc6705dad8c51996141a69de95aa6	fd94795e	5	stella	APPROVE	9	rowan-claude
nova-tools	2853	60b49b7278957240561df842fafab0f3510c6136	fd94795e	6	stella	APPROVE	8	rowan-claude
nova-tools	2867	4cb73e5850b6e9aa49e147e22f1af2e46f74404c	fd94795e	4	stella	APPROVE	9	rowan-claude
nova-tools	2881	ce87a65745fcb718a184a16124b9a368329c0ddd	fd94795e	6	emma	HOLD	8	rowan-claude
nova-tools	2896	a8485e57b0721ff02703eff3276b41e255626102	fd94795e	3	stella	APPROVE	9	rowan-claude
nova-tools	2905	081a597f1ba93005e724a571c50f97a5c678a2bb	fd94795e	7	stella	HOLD	7	rowan-claude
nova-tools	2913	b3f9f7e15e73fd98e8c0385ee7c15d3e08c12816	fd94795e	7	stella	HOLD	8	rowan-claude
nova-tools	2967	edbed1e19e6ab24794b1e62ac92178dc9cc79997	fd94795e	6	stella	APPROVE	8	rowan-claude
nova-tools	3053	6896a8e86e3161e8041394706334798b3630aa68	fd94795e	7	stella	HOLD	6	rowan-claude
nova-tools	3064	1c76c015a5a07c3a9f3e5c448750f0f299fe126b	fd94795e	7	stella	APPROVE	9	rowan-claude
nova-tools	3114	f3553847137b09735d089ccf25e92c2d8b992994	fd94795e	7	stella	APPROVE	8	rowan-claude
nova-tools	3126	c52dd4b75763ccd871b54268ef485ac9d9b00fdd	fd94795e	7	stella	APPROVE	8	gafferongames
nova-tools	3162	153403336c218ac259098ceabb6e3fcb1cd94ea2	fd94795e	1	stella	APPROVE	9	rowan-claude
nova-tools	3208	1e98def866be317c59fa81e359ae5d5e59121961	fd94795e	7	stella	APPROVE	9	rowan-claude
nova-tools	3222	65034273d2e8a7e249ecdc13cfc76047e27bda85	fd94795e	7	stella	HOLD	7	rowan-claude
nova-tools	3233	e5604fc62c2ba4de5b8db2bf5ce3f72015f85e68	fd94795e	6	stella	HOLD	7	rowan-claude
nova-tools	3241	a40481cf5709cce31d7368820dd28690528e32b7	fd94795e	7	stella	HOLD	6	rowan-claude
nova-tools	3250	deb13261ae093a633009cbefe06890fb5147e960	fd94795e	7	stella	APPROVE	9	rowan-claude
nova-tools	3292	435dd93d5d23f66f16975735795d9916b98bd969	fd94795e	1	stella	APPROVE	10	rowan-claude
nova-tools	3306	c94680b83cf212ab7a1083d7e458ceab2be01ee7	fd94795e	7	stella	APPROVE	8	rowan-claude
nova-tools	3336	2fff5cb16c0b2c9f087436d549496d0bf65f185b	fd94795e	7	stella	APPROVE	8	rowan-claude
nova-tools	3367	f33c57764cadcb7381f66d97e2f333bc6bfe8047	fd94795e	3	stella	APPROVE	9	rowan-claude
nova-tools	3406	ecaf321f83c5e10dd9fa2690c97afa50443b9a75	fd94795e	7	emma	APPROVE	10	rowan-claude
