card-down6-any-05	deepseek-v4-flash
card-down7-03	qwen/qwen3.7-flash
card-down8-pro-2	deepseek-v4-pro
card-down8-pro-3	deepseek-v4-pro
card-s17c-w6-rust	qwen/qwen3.7-flash
card-s17g-f7-rust	deepseek/deepseek-v4-flash
card-s17g-f8-cs	qwen/qwen3.7-flash
card-s17g-f9-go	deepseek/deepseek-v4-flash
card-s17mr-1059	deepseek/deepseek-v4-flash
card-s17mr-1072	deepseek-v4-flash
card-s17mr-1076	deepseek/deepseek-v4-flash
card-s17mr-1078	deepseek/deepseek-v4-flash
card-s17mr-1087	deepseek-v4-flash
card-s17mr2-1024	deepseek/deepseek-v4-flash
card-s17mr2-1037	qwen/qwen3.7-flash
card-s17mr2-1038	deepseek/deepseek-v4-flash
card-s17mr2-1039	qwen/qwen3.7-flash
card-s17mr2-1048	deepseek/deepseek-v4-flash
card-s17mr2-1055	deepseek/deepseek-v4-flash
card-s17mr2-1072	qwen/qwen3.7-flash
card-s17mr2-1102	deepseek/deepseek-v4-flash
card-s17pr2-1330	deepseek/deepseek-v4-flash
card-s17pr2-1332	qwen/qwen3.7-flash
card-s17pr2-1333	deepseek/deepseek-v4-flash
card-s17pr2-1336	deepseek-v4-flash
card-s17pr2-1337	qwen/qwen3.7-flash
card-s17pr2-1355	qwen/qwen3.7-flash
card-s17pr2-1356	deepseek/deepseek-v4-flash
card-s17pr2-1357	qwen/qwen3.7-flash
card-s17pr2-1370	deepseek/deepseek-v4-flash
card-s17pr2-1372	qwen/qwen3.7-flash
card-s17pr2-1373	deepseek-v4-flash
card-s17pr2-948	deepseek/deepseek-v4-flash
card-s17pr2-968	deepseek-v4-flash
card-s17pr2-973	deepseek/deepseek-v4-flash
card-s17pyf-c12	qwen/qwen3.7-flash
card-s17pyf-c13	deepseek-v4-flash
card-s17pyf-c5	qwen/qwen3.7-flash
card-s17pyf-c7	deepseek-v4-flash
card-s17pyf-c8	deepseek-v4-flash
card-s17pyf-c9	deepseek/deepseek-v4-flash
